Wall time,time/total_timesteps,eval/mean_reward
1670922160.35664,95499,112.614387512207
1670922179.44618,95999,174.483810424805
1670922198.70612,96499,302.067810058594
1670922332.39742,99999,98.2486572265625
1670922389.54655,101499,129.096328735352
1670922408.49546,101999,177.198165893555
1670922427.25027,102499,61.8654403686523
1670922446.04934,102999,479.985931396484
1670922484.46202,103999,151.346557617188
1670922522.49402,104999,59.1108055114746
1670922560.25262,105999,81.4511260986328
1670922598.18179,106999,181.316558837891
1670922635.21985,107999,52.9237098693848
1670922654.29252,108499,111.380340576172
1670922711.25687,109999,162.585433959961
1670922730.34706,110499,226.749649047852
1670922749.44465,110999,197.345962524414
1670922768.41574,111499,354.312835693359
1670922806.88919,112499,173.713104248047
1670922899.37224,114999,138.1064453125
1670923089.61919,119999,190.839950561523
1670923126.96786,120999,107.143058776855
1670923184.3232,122499,177.686141967773
1670923203.62689,122999,149.469940185547
1670923222.56807,123499,201.579025268555
1670923374.38973,127499,172.265014648438
1670923449.68151,129499,157.535186767578
1670923468.6223,129999,62.5215721130371
1670923487.83387,130499,162.683700561523
1670923526.02568,131499,196.316650390625
1670923679.49233,135499,114.647071838379
1670923698.57388,135999,105.875175476074
1670923754.86893,137499,147.938735961914
1670923793.2491,138499,187.920455932617
1670923830.83331,139499,82.6207046508789
1670923869.43371,140499,141.795455932617
1670923907.85136,141499,134.786056518555
1670923927.09362,141999,102.394630432129
1670923965.33712,142999,117.504821777344
1670924003.56136,143999,83.2116012573242
1670924022.66518,144499,169.540054321289
1670924060.87998,145499,210.92578125
1670924156.16368,147999,140.232452392578
1670924175.16313,148499,117.708946228027
1670924194.33691,148999,102.189483642578
1670924213.40467,149499,156.89094543457
1670924366.42772,153499,323.294281005859
1670924404.08517,154499,240.077392578125
1670924422.84024,154999,80.2817993164063
1670924480.05104,156499,112.754035949707
1670924556.82158,158499,363.239440917969
1670924594.90524,159499,150.418930053711
1670924614.01694,159999,154.455093383789
1670924671.58202,161499,152.773361206055
1670924709.61832,162499,154.473358154297
1670924803.90052,164999,122.760848999023
1670924842.54086,165999,66.8261871337891
1670924862.02633,166499,187.506729125977
1670924956.92154,168999,178.76806640625
1670924975.50633,169499,71.2750396728516
1670925012.92167,170499,182.203720092773
1670925071.16161,171999,180.528686523438
1670925109.03268,172999,74.1962661743164
1670925128.23505,173499,129.647048950195
1670925203.93355,175499,116.68196105957
1670925242.1272,176499,426.240539550781
1670925280.54025,177499,478.243133544922
1670925357.07198,179499,174.684005737305
1670925435.91059,181499,121.001190185547
1670925455.14513,181999,163.011566162109
1670925474.23257,182499,105.443992614746
1670925493.40158,182999,142.026657104492
1670925511.50898,183499,381.343780517578
1670925530.48074,183999,135.120376586914
1670925664.99944,187499,345.125
1670925722.43913,188999,169.774948120117
1670925741.5398,189499,152.080261230469
1670925891.86076,193499,125.307304382324
1670925968.7353,195499,201.910095214844
1670925987.50338,195999,238.888671875
1670926006.65237,196499,115.369453430176
1670926025.12729,196999,267.703857421875
1670926044.48721,197499,334.114562988281
1670926101.79683,198999,87.1913528442383
1670926197.38011,201499,137.173828125
1670926235.75124,202499,112.671936035156
1670926311.96476,204499,197.301345825195
1670926331.09903,204999,374.190582275391
1670926407.34387,206999,411.236389160156
1670926426.16456,207499,96.419792175293
1670926445.38527,207999,218.489517211914
1670926502.89585,209499,49.6797714233398
1670926560.22365,210999,167.854095458984
1670926578.8411,211499,135.140518188477
1670926634.57865,212999,65.3404922485352
1670926653.70552,213499,103.099029541016
