train/ent_coef_loss,eval/mean_reward,eval/mean_ep_length,train/actor_loss,train/n_updates,train/learning_rate,train/critic_loss,time/total_timesteps,train/ent_coef,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes
0.05312737822532654,1.308503,500.0,-56.634002685546875,23399,0.0003,0.868009090423584,23500,0.03344722092151642,,,,,
-1.8136484622955322,3.9893888000000004,500.0,-55.70413589477539,23899,0.0003,1.3978317975997925,24000,0.03241121768951416,,,,,
,,,,,,,24000,,11,2080,500.0,3.5706784999999996,48
-0.968022346496582,1.5618046,500.0,-56.339080810546875,24399,0.0003,1.1256650686264038,24500,0.031772129237651825,,,,,
0.22630926966667175,1.101453,500.0,-55.17314147949219,24899,0.0003,4.223319053649902,25000,0.03178391978144646,,,,,
-0.3477631211280823,0.329678,500.0,-54.910118103027344,25399,0.0003,1.6323617696762085,25500,0.03142576664686203,,,,,
-0.13210704922676086,0.8310039999999999,500.0,-56.481231689453125,25899,0.0003,1.134354591369629,26000,0.03127098083496094,,,,,
,,,,,,,26000,,11,2258,500.0,3.543265615384615,52
-0.6688129305839539,2.8333061999999996,500.0,-56.367919921875,26399,0.0003,1.4258618354797363,26500,0.03146717697381973,,,,,
-1.6217994689941406,8.434403199999998,500.0,-55.71678924560547,26899,0.0003,2.4318642616271973,27000,0.030882231891155243,,,,,
1.6122430562973022,1.8359303999999999,500.0,-56.38180160522461,27399,0.0003,18.689857482910156,27500,0.030432432889938354,,,,,
-1.5519437789916992,0.6266866,500.0,-55.131324768066406,27899,0.0003,0.9837494492530823,28000,0.02966044284403324,,,,,
,,,,,,,28000,,11,2433,500.0,3.3704771964285714,56
0.32853975892066956,2.0216952,500.0,-56.42045593261719,28399,0.0003,1.4259347915649414,28500,0.028981884941458702,,,,,
1.913404941558838,1.5498134000000001,500.0,-54.80596160888672,28899,0.0003,1.1060476303100586,29000,0.02921018749475479,,,,,
0.5283078551292419,1.2685638000000001,500.0,-55.54854965209961,29399,0.0003,1.0481293201446533,29500,0.0287169162184,,,,,
0.8395581245422363,0.0793098,500.0,-55.48536682128906,29899,0.0003,1.1376075744628906,30000,0.02877352572977543,,,,,
,,,,,,,30000,,11,2608,500.0,3.1560201500000007,60
0.11988496780395508,2.690851,500.0,-55.71919250488281,30399,0.0003,0.987494945526123,30500,0.028392169624567032,,,,,
-1.0185563564300537,0.33141400000000004,500.0,-55.326454162597656,30899,0.0003,1.9049549102783203,31000,0.028634512796998024,,,,,
-0.8587740659713745,1.2733911999999998,500.0,-55.89845275878906,31399,0.0003,0.873001217842102,31500,0.028780832886695862,,,,,
-1.6261667013168335,4.512538200000001,500.0,-54.517921447753906,31899,0.0003,1.1287376880645752,32000,0.028193553909659386,,,,,
,,,,,,,32000,,11,2782,500.0,3.042799015625,64
-0.9198734760284424,2.8076148,500.0,-54.67667007446289,32399,0.0003,9.503519058227539,32500,0.028178352862596512,,,,,
-1.5724319219589233,0.1475292,500.0,-54.37188720703125,32899,0.0003,20.249313354492188,33000,0.028190044686198235,,,,,
1.4721571207046509,0.1756082,500.0,-54.669921875,33399,0.0003,0.9661074876785278,33500,0.027261883020401,,,,,
-0.5062230825424194,1.9868146,500.0,-54.511497497558594,33899,0.0003,0.8782538771629333,34000,0.02740371599793434,,,,,
,,,,,,,34000,,11,2956,500.0,3.4123975735294114,68
0.13937830924987793,1.9340637999999999,500.0,-54.979530334472656,34399,0.0003,1.9984511137008667,34500,0.027526967227458954,,,,,
-0.044598162174224854,4.3271068,500.0,-53.93000793457031,34899,0.0003,2.81988787651062,35000,0.0275126900523901,,,,,
-0.8594384789466858,6.4411836,500.0,-53.50582504272461,35399,0.0003,1.033648133277893,35500,0.027339868247509003,,,,,
-0.9493206143379211,4.980918,500.0,-53.43251037597656,35899,0.0003,1.1326055526733398,36000,0.027933867648243904,,,,,
,,,,,,,36000,,11,3130,500.0,3.3023297916666667,72
1.1803112030029297,5.9903514,500.0,-53.626747131347656,36399,0.0003,0.9626744985580444,36500,0.027470557019114494,,,,,
1.356296181678772,2.3705787999999997,500.0,-53.81982421875,36899,0.0003,7.911764144897461,37000,0.027024980634450912,,,,,
-2.127976894378662,2.3360332,500.0,-53.298011779785156,37399,0.0003,14.387819290161133,37500,0.026984868571162224,,,,,
-2.016892910003662,1.9044549999999998,500.0,-53.016937255859375,37899,0.0003,9.451675415039062,38000,0.02631916105747223,,,,,
,,,,,,,38000,,11,3303,500.0,3.263157776315789,76
-2.0669424533843994,9.0413282,500.0,-52.06061553955078,38399,0.0003,1.1246223449707031,38500,0.026228981092572212,,,,,
-0.1421436071395874,1.8627410000000002,500.0,-52.91650390625,38899,0.0003,8.282923698425293,39000,0.025255396962165833,,,,,
-1.6275100708007812,0.714701,500.0,-51.59272003173828,39399,0.0003,6.209237098693848,39500,0.025034882128238678,,,,,
1.530720591545105,0.8075867999999999,500.0,-50.69413375854492,39899,0.0003,2.3976073265075684,40000,0.024398986250162125,,,,,
,,,,,,,40000,,11,3479,500.0,3.31278475,80
-1.4756691455841064,1.8617447999999999,500.0,-50.880210876464844,40399,0.0003,1.0566308498382568,40500,0.02434818632900715,,,,,
-0.8818910717964172,1.3225694000000001,500.0,-49.8807373046875,40899,0.0003,8.89691162109375,41000,0.02405231073498726,,,,,
-0.6630111932754517,0.761319,500.0,-49.1355094909668,41399,0.0003,1.012006402015686,41500,0.02395443245768547,,,,,
-1.4773592948913574,1.7885348000000003,500.0,-49.624755859375,41899,0.0003,1.2550289630889893,42000,0.023956099525094032,,,,,
,,,,,,,42000,,11,3648,500.0,3.1971689166666666,84
0.4476563036441803,9.062711799999999,500.0,-49.716575622558594,42399,0.0003,5.984287738800049,42500,0.02331215888261795,,,,,
-1.5756357908248901,3.570488600000001,500.0,-49.473907470703125,42899,0.0003,0.9788210391998291,43000,0.023077303543686867,,,,,
-1.321155309677124,7.0993234,500.0,-49.53955841064453,43399,0.0003,7.281062602996826,43500,0.022922039031982422,,,,,
-1.0646779537200928,0.5554892,500.0,-48.29725646972656,43899,0.0003,1.1336586475372314,44000,0.02325494773685932,,,,,
,,,,,,,44000,,11,3818,500.0,3.1122044545454552,88
-0.7479807138442993,0.7902066,500.0,-47.57609939575195,44399,0.0003,1.006824016571045,44500,0.023071089759469032,,,,,
-2.6364002227783203,0.709659,500.0,-47.95621871948242,44899,0.0003,0.9773859977722168,45000,0.023363571614027023,,,,,
1.8035540580749512,1.1943949999999999,500.0,-46.92205810546875,45399,0.0003,0.9900130033493042,45500,0.022906791418790817,,,,,
-1.693077564239502,2.3232866000000003,500.0,-47.01073455810547,45899,0.0003,0.8468786478042603,46000,0.022495655342936516,,,,,
,,,,,,,46000,,11,3990,500.0,3.005294728260869,92
-0.961323618888855,3.9251503999999997,500.0,-46.98577880859375,46399,0.0003,1.06365966796875,46500,0.022006724029779434,,,,,
0.4646919369697571,2.846497,500.0,-45.89790725708008,46899,0.0003,2.8663387298583984,47000,0.021339859813451767,,,,,
1.077599287033081,0.9534638000000001,500.0,-44.666141510009766,47399,0.0003,5.717784881591797,47500,0.021235644817352295,,,,,
-0.13761280477046967,3.0600539999999996,500.0,-45.10527801513672,47899,0.0003,3.8639774322509766,48000,0.020956475287675858,,,,,
,,,,,,,48000,,11,4162,500.0,2.899267864583333,96
