time/total_timesteps,eval/mean_ep_length,train/n_updates,train/ent_coef_loss,train/learning_rate,train/actor_loss,eval/mean_reward,train/ent_coef,train/critic_loss,rollout/ep_rew_mean,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean
14000,,,,,,,,,2.777974392857143,28,11,1236,500.0
14500,500.0,14399,-2.89674973487854,0.0003,-45.972267150878906,1.9186052,0.027492953464388847,0.6528456211090088,,,,,
15000,500.0,14899,-2.406831741333008,0.0003,-46.573020935058594,0.3683338,0.026877377182245255,0.6581122875213623,,,,,
15500,500.0,15399,2.099635601043701,0.0003,-46.50463104248047,0.324759,0.026408687233924866,2.7973861694335938,,,,,
16000,500.0,15899,1.0812159776687622,0.0003,-45.66669845581055,1.1321582,0.02651319094002247,0.49093759059906006,,,,,
16000,,,,,,,,,2.4752515937500004,32,11,1411,500.0
16500,500.0,16399,0.9167702794075012,0.0003,-44.840362548828125,1.2966351999999999,0.026604188606142998,0.6229673624038696,,,,,
17000,500.0,16899,-0.997968316078186,0.0003,-45.35640335083008,2.5820304,0.027185752987861633,1.2513707876205444,,,,,
17500,500.0,17399,-1.119363784790039,0.0003,-45.05022430419922,0.3995978,0.027350937947630882,2.8076822757720947,,,,,
18000,500.0,17899,0.8215622901916504,0.0003,-44.6989860534668,1.018146,0.02759648486971855,1.053275465965271,,,,,
18000,,,,,,,,,2.5345561666666665,36,11,1583,500.0
18500,500.0,18399,4.044434070587158,0.0003,-44.894187927246094,0.12402359999999998,0.027871081605553627,0.5955880880355835,,,,,
19000,500.0,18899,-0.7094299793243408,0.0003,-44.790283203125,0.26438700000000004,0.027163859456777573,0.591584324836731,,,,,
19500,500.0,19399,-0.4036184847354889,0.0003,-44.86568069458008,1.422745,0.026386942714452744,0.7236571311950684,,,,,
20000,500.0,19899,-0.2948215901851654,0.0003,-44.35715103149414,1.8312848,0.025453755632042885,1.409233808517456,,,,,
20000,,,,,,,,,2.5253940750000003,40,11,1760,500.0
20500,500.0,20399,-2.7622854709625244,0.0003,-45.103267669677734,2.1570418,0.0249115489423275,0.5603896379470825,,,,,
21000,500.0,20899,1.2369886636734009,0.0003,-44.366943359375,2.8820141999999995,0.02410873956978321,0.5682993531227112,,,,,
21500,500.0,21399,-2.171103000640869,0.0003,-43.889137268066406,1.1872848,0.02388995885848999,0.4682122468948364,,,,,
22000,500.0,21899,1.1158318519592285,0.0003,-43.57965850830078,0.6191228,0.023547498509287834,0.7015032768249512,,,,,
22000,,,,,,,,,2.4391867954545456,44,11,1934,500.0
22500,500.0,22399,0.8841531872749329,0.0003,-42.97507095336914,2.6921198,0.023445168510079384,0.7609232068061829,,,,,
23000,500.0,22899,2.6457581520080566,0.0003,-43.43767547607422,0.2861216,0.02342505194246769,0.7296373844146729,,,,,
23500,500.0,23399,-1.3916467428207397,0.0003,-42.93881607055664,0.3404232,0.023263443261384964,0.5529686212539673,,,,,
24000,500.0,23899,-0.44581103324890137,0.0003,-42.96743392944336,2.4257883999999996,0.022693343460559845,0.5562741160392761,,,,,
24000,,,,,,,,,2.5406153958333335,48,11,2117,500.0
24500,500.0,24399,-1.4615514278411865,0.0003,-43.42595291137695,1.7047145999999997,0.022630387917160988,0.6183737516403198,,,,,
25000,500.0,24899,-0.05390465259552002,0.0003,-42.69230651855469,1.8182114000000003,0.022231627255678177,2.511018753051758,,,,,
25500,500.0,25399,-1.574258804321289,0.0003,-42.08579635620117,0.9536958,0.02137818932533264,1.2081917524337769,,,,,
26000,500.0,25899,-1.4007153511047363,0.0003,-41.54001998901367,0.8951231999999999,0.020808963105082512,0.481164813041687,,,,,
26000,,,,,,,,,2.5304869615384615,52,11,2294,500.0
26500,500.0,26399,2.5260353088378906,0.0003,-42.17284393310547,1.0395458,0.02026546001434326,0.8182758092880249,,,,,
27000,500.0,26899,3.286637783050537,0.0003,-41.20432662963867,0.19777,0.02003725990653038,5.107659339904785,,,,,
27500,500.0,27399,2.4578871726989746,0.0003,-41.365074157714844,0.1696144,0.019702935591340065,2.3481225967407227,,,,,
